user_id,Something's Gotta Give,Kill Bill: Vol. 2,American Beauty,The Wedding Planner,Man on Fire,S.W.A.T.,Pirates of the Caribbean: The Curse of the Black Pearl,50 First Dates,What Women Want,The Bourne Supremacy,Lord of the Rings: The Fellowship of the Ring,Braveheart,The Silence of the Lambs,Ghost,Napoleon Dynamite,Sideways,Men in Black II,The Last Samurai,Bruce Almighty,Shrek 2,Finding Nemo (Widescreen),Patch Adams,The Sixth Sense,The Italian Job,Rain Man,Erin Brockovich,Gone in 60 Seconds,Miss Congeniality,Dodgeball: A True Underdog Story,I; Robot,Memento,Fight Club,The Bourne Identity,Collateral,My Big Fat Greek Wedding,Pretty Woman,Sister Act,Entrapment,The Fast and the Furious,Ferris Bueller's Day Off,Armageddon,Men of Honor,Dirty Dancing,Top Gun,Minority Report,Catch Me If You Can,The Royal Tenenbaums,Good Will Hunting,Pearl Harbor,Mr. Deeds,Raiders of the Lost Ark,The School of Rock,The Incredibles,Pulp Fiction,Monsters; Inc.,Maid in Manhattan,Forrest Gump,American Pie,Lord of the Rings: The Two Towers,Swordfish,Spider-Man 2,Big Fish,Lost in Translation,The Rock,Twister,Mystic River,John Q,Double Jeopardy,Men in Black,Two Weeks Notice,Troy,The General's Daughter,Air Force One,Gladiator,Enemy of the State,Lord of the Rings: The Return of the King,The Patriot,Lethal Weapon 4,Spider-Man,Kill Bill: Vol. 1,How to Lose a Guy in 10 Days,The Shawshank Redemption: Special Edition,Shrek (Full-screen),The Matrix,Tomb Raider,Ocean's Eleven,Independence Day,The Day After Tomorrow,Sweet Home Alabama,Con Air,The Green Mile,The Fugitive,A Few Good Men,Titanic,Anger Management,Indiana Jones and the Last Crusade,Meet the Parents,Saving Private Ryan,National Treasure,The Terminal
5530,4.0,5.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,5.0,3.0,4.0,5.0,0.0,5.0,4.0,4.0,4.0,0.0,1.0,4.0,0.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,4.0,5.0,4.0,0.0,4.0,0.0,3.0,5.0,4.0,5.0,5.0,4.0,0.0,5.0,4.0,5.0,1.0,5.0,4.0,5.0,0.0,0.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0,2.0,5.0,3.0,0.0,5.0,5.0,0.0,5.0,4.0,5.0,0.0,4.0,2.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,5.0,0.0,0.0
5652,4.0,3.0,4.0,0.0,3.0,0.0,4.0,3.0,0.0,0.0,5.0,4.0,5.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,5.0,3.0,5.0,2.0,4.0,4.0,2.0,3.0,4.0,0.0,3.0,3.0,3.0,0.0,4.0,3.0,3.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,3.0,4.0,0.0,4.0,0.0,2.0,4.0,2.0,5.0,4.0,5.0,3.0,1.0,4.0,5.0,0.0,2.0,2.0,4.0,0.0,0.0,4.0,0.0,3.0,3.0,4.0,2.0,0.0,0.0,4.0,0.0,5.0,3.0,2.0,2.0,2.0,0.0,4.0,5.0,3.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,2.0,2.0,4.0,4.0,3.0,0.0,0.0
5980,5.0,5.0,5.0,3.0,5.0,0.0,5.0,4.0,4.0,5.0,5.0,0.0,3.0,0.0,2.0,4.0,0.0,0.0,3.0,5.0,5.0,0.0,5.0,4.0,0.0,5.0,4.0,4.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,4.0,0.0,2.0,4.0,4.0,3.0,0.0,0.0,4.0,0.0,4.0,0.0,5.0,0.0,3.0,0.0,0.0,5.0,0.0,5.0,4.0,5.0,5.0,5.0,3.0,0.0,3.0,3.0,4.0,4.0,4.0,0.0,3.0,5.0,4.0,0.0,0.0,4.0,3.0,3.0,5.0,0.0,0.0,4.0,5.0,4.0,0.0,5.0,2.0,4.0,4.0,4.0,5.0,4.0,0.0,5.0,0.0,0.0,5.0,4.0,0.0,5.0,0.0,3.0,5.0
6206,4.0,5.0,4.0,0.0,0.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,0.0,0.0,4.0,0.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,4.0,4.0,3.0,5.0,0.0,0.0,4.0,4.0,5.0,5.0,5.0,2.0,4.0,4.0,3.0,0.0,4.0,5.0,3.0,4.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,5.0,0.0,4.0,3.0,0.0,4.0,4.0,5.0,4.0,4.0
6629,4.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,0.0,4.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,5.0,0.0,3.0,4.0,4.0,4.0,5.0,2.0,0.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,2.0,5.0,5.0,5.0,0.0,5.0,2.0,2.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,0.0,2.0,5.0,4.0,4.0,2.0,4.0,0.0,5.0,3.0,5.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,2.0,3.0,4.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,4.0,3.0,0.0,4.0,3.0,5.0,5.0
7576,4.0,5.0,3.0,0.0,2.0,4.0,5.0,5.0,4.0,4.0,2.0,5.0,5.0,4.0,1.0,5.0,3.0,5.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,0.0,3.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,3.0,4.0,0.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,2.0,5.0,4.0,5.0,2.0,4.0,4.0,2.0,3.0,4.0,0.0,4.0,5.0,3.0,3.0,4.0,4.0,2.0,0.0,4.0
8121,3.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,4.0,1.0,0.0,4.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,3.0,1.0,0.0,1.0
8200,0.0,4.0,0.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,0.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,0.0,4.0,3.0,3.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,0.0,4.0,5.0,4.0,0.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0
8660,4.0,5.0,4.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,4.0,0.0,3.0,4.0,3.0,0.0,4.0,0.0,0.0,2.0,4.0,4.0,0.0,3.0,3.0,2.0,5.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,0.0,4.0,5.0,4.0,5.0,0.0,5.0,3.0,5.0,4.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,4.0,4.0,5.0,0.0,3.0,4.0,4.0,0.0,0.0,5.0,5.0,4.0,3.0,3.0,0.0,4.0,3.0,5.0,3.0,3.0,1.0,0.0,5.0,3.0,5.0,0.0,0.0
9557,0.0,0.0,5.0,2.0,0.0,0.0,5.0,3.0,2.0,0.0,5.0,4.0,4.0,3.0,3.0,0.0,2.0,0.0,2.0,3.0,5.0,2.0,5.0,0.0,2.0,2.0,0.0,4.0,3.0,3.0,4.0,4.0,2.0,0.0,4.0,2.0,2.0,2.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,2.0,5.0,0.0,5.0,3.0,3.0,2.0,5.0,2.0,5.0,0.0,5.0,5.0,4.0,2.0,3.0,2.0,0.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,5.0,2.0,0.0,3.0,0.0,2.0,5.0,5.0,5.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,2.0,2.0,5.0,2.0,5.0,2.0,4.0,0.0,4.0
10268,3.0,4.0,4.0,3.0,4.0,4.0,3.0,0.0,4.0,4.0,4.0,4.0,5.0,3.0,0.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,5.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,3.0,5.0,4.0,3.0,4.0,0.0,4.0,5.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,4.0
10374,4.0,5.0,4.0,3.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,0.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0.0,5.0,4.0,5.0,5.0,2.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,0.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0
10679,4.0,0.0,0.0,5.0,2.0,0.0,4.0,0.0,4.0,1.0,3.0,3.0,5.0,5.0,0.0,0.0,3.0,4.0,2.0,5.0,5.0,4.0,4.0,0.0,0.0,5.0,3.0,5.0,3.0,0.0,1.0,0.0,1.0,4.0,3.0,5.0,5.0,0.0,0.0,4.0,0.0,0.0,5.0,5.0,3.0,4.0,0.0,4.0,3.0,0.0,5.0,0.0,4.0,0.0,5.0,5.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,5.0,4.0,0.0,4.0,4.0,0.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,3.0,1.0,0.0,5.0,5.0,3.0,2.0,3.0,5.0,4.0,3.0,3.0,5.0,4.0,5.0,4.0,0.0,5.0,4.0,5.0,0.0,4.0
10897,5.0,0.0,3.0,3.0,4.0,3.0,5.0,3.0,3.0,4.0,0.0,5.0,4.0,4.0,0.0,4.0,3.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,0.0,0.0,3.0,0.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,2.0,5.0,4.0,3.0,4.0,0.0,0.0,3.0,5.0,4.0,5.0,3.0,0.0,3.0,0.0,0.0,4.0,4.0,2.0,4.0,5.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,0.0,5.0,4.0,0.0,0.0,4.0,5.0,5.0,0.0,2.0,3.0,2.0,0.0,5.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0
10947,3.0,5.0,3.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,5.0,4.0,4.0,3.0,5.0,4.0,2.0,3.0,3.0,5.0,4.0,0.0,5.0,4.0,3.0,3.0,2.0,3.0,5.0,3.0,2.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,0.0,3.0,3.0,2.0,4.0,5.0,3.0,1.0,3.0,4.0,5.0,5.0,5.0,5.0,2.0,4.0,3.0,5.0,1.0,4.0,4.0,4.0,3.0,0.0,4.0,0.0,2.0,3.0,3.0,3.0,0.0,3.0,4.0,2.0,5.0,3.0,3.0,3.0,5.0,1.0,4.0,5.0,5.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0
11043,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,0.0,3.0,4.0,3.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,1.0,5.0,4.0,3.0,5.0,3.0,5.0,1.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,0.0,0.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,5.0,4.0
11796,4.0,4.0,4.0,2.0,4.0,1.0,3.0,3.0,4.0,2.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,5.0,3.0,4.0,5.0,2.0,3.0,4.0,3.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,1.0,4.0,3.0,1.0,0.0,5.0,5.0,5.0,3.0,4.0,4.0,2.0,5.0,3.0,4.0,4.0,4.0,1.0,5.0,3.0,5.0,3.0,5.0,4.0,5.0,5.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,3.0,4.0,5.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,3.0,3.0,4.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,2.0,2.0
12812,2.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,0.0,3.0,4.0,3.0,4.0,2.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,1.0,4.0,3.0,2.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,0.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,5.0,3.0,4.0,5.0,3.0,3.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0
13432,0.0,0.0,3.0,2.0,4.0,0.0,4.0,4.0,2.0,3.0,3.0,5.0,5.0,5.0,3.0,3.0,3.0,0.0,3.0,4.0,4.0,3.0,5.0,0.0,5.0,4.0,2.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,5.0,5.0,4.0,4.0,5.0,4.0,0.0,4.0,4.0,0.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,3.0,0.0,0.0,5.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,0.0,4.0,5.0,0.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,3.0
14642,4.0,5.0,5.0,2.0,4.0,3.0,5.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,3.0,5.0,3.0,4.0,4.0,3.0,1.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,0.0,0.0,5.0,5.0,5.0,2.0,5.0,5.0,4.0,5.0,3.0,5.0,3.0,4.0,4.0,2.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,3.0,5.0,0.0,3.0,0.0,3.0,4.0,3.0,2.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,0.0,4.0
